time,PM2.5,PM10,CO,O3,wspd,temp,dwpt
2022-01-01 00:00:00,23.6875,37.27272727272727,0.5,8.781538461538462,6.925,5.525,4.2
2022-01-01 01:00:00,19.25,30.0,0.4666666666666666,9.61923076923077,4.15,4.8500000000000005,3.6500000000000004
2022-01-01 02:00:00,19.25,21.923076923076923,0.43333333333333335,10.962307692307691,4.775,4.3,3.2
2022-01-01 03:00:00,13.75,15.923076923076923,0.39999999999999997,13.46923076923077,7.125,4.25,2.65
2022-01-01 04:00:00,14.5,15.76923076923077,0.3,14.37153846153846,6.025,3.225,1.325
2022-01-01 05:00:00,11.875,13.307692307692308,0.3,16.41923076923077,5.475,2.95,0.9500000000000001
2022-01-01 06:00:00,9.875,11.538461538461538,0.25,15.207692307692307,5.725,2.9,0.875
2022-01-01 07:00:00,9.375,10.461538461538462,0.36666666666666664,15.375384615384615,4.4,2.775,1.05
2022-01-01 08:00:00,7.875,10.0,0.3,17.063846153846153,5.4,2.35,0.725
2022-01-01 09:00:00,6.125,10.153846153846153,0.3333333333333333,21.93846153846154,3.4250000000000003,2.425,0.42500000000000004
2022-01-01 10:00:00,6.625,9.692307692307692,0.25,26.72923076923077,4.15,5.1,2.225
2022-01-01 11:00:00,6.625,8.923076923076923,0.3666666666666667,32.55769230769231,6.575,7.75,2.625
2022-01-01 12:00:00,5.5,8.846153846153847,0.3666666666666667,37.183846153846154,4.15,10.225,3.35
2022-01-01 13:00:00,6.75,10.76923076923077,0.3333333333333333,38.931538461538466,3.7,13.0,4.525
2022-01-01 14:00:00,8.25,11.923076923076923,0.39999999999999997,41.56461538461539,4.2250000000000005,14.975,3.825
2022-01-01 15:00:00,9.375,11.461538461538462,0.5666666666666667,34.17923076923077,2.975,16.45,3.3
2022-01-01 16:00:00,11.25,15.76923076923077,0.6499999999999999,16.083333333333332,0.9,17.45,3.4
2022-01-01 17:00:00,13.25,20.53846153846154,1.1666666666666667,8.513846153846153,1.0,17.25,3.175
2022-01-01 18:00:00,18.375,28.846153846153847,1.1666666666666667,6.753076923076923,2.35,13.45,3.35
2022-01-01 19:00:00,20.75,30.76923076923077,1.1666666666666667,5.907692307692307,0.55,12.125,3.525
2022-01-01 20:00:00,20.625,30.384615384615383,1.1666666666666667,5.714615384615385,4.15,9.05,2.95
2022-01-01 21:00:00,19.25,25.76923076923077,0.8333333333333334,6.66,3.85,7.575,2.9
2022-01-01 22:00:00,17.625,22.153846153846153,0.7333333333333334,8.073846153846153,5.325,7.325,2.475
2022-01-01 23:00:00,15.25,18.846153846153847,0.43333333333333335,9.746153846153847,3.95,6.375,2.075
2022-01-02 00:00:00,12.625,15.0,0.39999999999999997,10.686923076923078,4.4,5.275,1.975
2022-01-02 01:00:00,8.625,11.384615384615385,0.3666666666666667,11.743076923076924,3.5,4.625,1.75
2022-01-02 02:00:00,7.875,10.461538461538462,0.39999999999999997,13.163846153846153,4.25,4.275,1.7000000000000002
2022-01-02 03:00:00,8.0,9.538461538461538,0.26666666666666666,12.375384615384615,3.7750000000000004,4.575,1.6500000000000001
2022-01-02 04:00:00,7.875,9.384615384615385,0.26666666666666666,13.262307692307692,4.675000000000001,3.55,1.025
2022-01-02 05:00:00,6.625,8.076923076923077,0.26666666666666666,13.666923076923078,3.325,3.0749999999999997,0.8
2022-01-02 06:00:00,7.5,9.384615384615385,0.3333333333333333,10.653846153846153,4.4,3.1,0.75
2022-01-02 07:00:00,6.25,8.923076923076923,0.25,8.883846153846154,4.6,2.8000000000000003,0.775
2022-01-02 08:00:00,8.25,10.0,0.3,10.883076923076922,3.5,1.9,0.17500000000000002
2022-01-02 09:00:00,8.0,11.307692307692308,0.4000000000000001,15.20923076923077,3.05,2.525,0.425
2022-01-02 10:00:00,8.625,12.384615384615385,0.3333333333333333,20.595384615384617,2.8,4.475,1.8
2022-01-02 11:00:00,9.125,12.538461538461538,0.3666666666666667,21.429230769230767,3.95,7.7,2.425
2022-01-02 12:00:00,9.0,13.846153846153847,0.39999999999999997,22.737692307692306,4.325,10.025,3.8
2022-01-02 13:00:00,13.75,18.692307692307693,0.39999999999999997,22.46,2.35,11.2,4.45
2022-01-02 14:00:00,16.75,21.076923076923077,0.3666666666666667,24.374615384615385,0.35,12.825,5.0
2022-01-02 15:00:00,16.5,21.692307692307693,0.3666666666666667,20.61846153846154,3.15,13.975,5.449999999999999
2022-01-02 16:00:00,16.5,20.923076923076923,0.3666666666666667,11.76,2.35,14.85,5.275
2022-01-02 17:00:00,17.875,23.53846153846154,0.6333333333333333,6.7784615384615385,6.85,14.225,6.75
2022-01-02 18:00:00,22.0,31.692307692307693,0.9,5.220769230769231,4.05,11.1,6.7
2022-01-02 19:00:00,22.0,36.30769230769231,0.9,5.325384615384616,3.425,10.275,6.725
2022-01-02 20:00:00,22.0,37.46153846153846,0.9,5.65,3.525,8.8,5.975
2022-01-02 21:00:00,22.0,35.0,0.9,4.986153846153846,4.6,8.125,5.7
2022-01-02 22:00:00,21.625,29.692307692307693,0.6333333333333333,4.977692307692308,3.7,7.175,5.05
2022-01-02 23:00:00,18.25,24.53846153846154,0.5,5.112307692307693,4.4,6.15,4.825
2022-01-03 00:00:00,15.75,19.692307692307693,0.39999999999999997,5.194615384615385,3.5,6.0,4.55
2022-01-03 01:00:00,14.375,17.923076923076923,0.39999999999999997,5.96,5.949999999999999,4.675,3.325
